,L4,Vip,Lamp5,L5 NP,Sst,L5 IT,Oligo,L6 PT,L6 IT,Sncg,Pvalb,L2/3 IT,Astro,L5 PT,L6b,Endo,Peri,Meis2,Macrophage,CR,VLMC,SMC
0,0.00011684721062185655,0.250235957417721,2.1411487097118542e-05,0.1871734279282944,0.24878676395663513,0.19089100883235188,0.42287601727903723,0.4656727714930339,1.355520075850547e-05,2.1469620313518956e-06,3.6423651770582655e-05,9.153362294095357e-06,8.408253923508635e-06,0.0001150520116093498,1.4232229819888254e-05,0.0030603684663797204,1.6765296972920396e-07,5.78348649860061e-06,0.00038597328224911076,1.1668486376681386e-05,0.046249020824920564,8.81830439314335e-06
1,2.0959100878403802e-05,0.21050411799531338,0.11807530324055916,3.4914419571041577e-06,0.7084677926216477,0.5630237483105089,0.17857690296986087,1.0220516187930961e-05,0.0001141148946282311,7.213291737279137e-06,3.052557773153275e-05,0.08230361980567841,9.97236256838896e-06,4.875235430518501e-06,0.14514527523272924,4.184772776961304e-06,2.0886168418388085e-07,1.564945744325641e-06,3.105591617313941e-06,2.8162305198975446e-07,3.209506101908843e-05,3.6509523022032475e-06
2,7.615885912332088e-06,0.36935839492783124,0.5144972960280858,2.7758782208398003e-06,1.159760858513854,4.936761895502073e-06,4.1615547546752785e-06,7.41253311431489e-06,8.574044477988041e-06,2.0316180118273852e-05,0.21529643226414708,5.452294849939143e-06,4.532159693704241e-06,2.490518165403771e-06,2.7122869782902903e-06,1.7116203097702898e-06,4.747133058868869e-08,4.480901506176416e-06,2.0278732728654103e-06,1.7060456425355142e-07,1.27352925793911e-06,1.7372965953679764e-06
3,0.00016912234606339394,0.37016442831516505,0.2547472008343643,1.1043950706834949e-05,0.4573094792594512,0.9258902805417568,3.929312169068111e-06,2.6548079073762665e-05,0.32978380490605164,0.00012046659285375183,0.204267110243989,3.470939811514584e-05,1.5169524349281649e-05,1.5444489513322113e-05,0.2862166701698136,7.412745737546411e-07,5.1934307816053904e-08,1.6344619884200995e-06,7.725799360744356e-07,3.5699009348633126e-07,9.870894290414656e-06,2.5878620613373204e-06
4,0.6183416135022344,0.22391871907391642,0.0001698596554478883,1.2585627452210701e-05,0.4275562947623231,0.3521160797552398,3.127449065139232e-05,1.0928463628601115e-05,1.1904143196773964e-05,2.024784512277833e-06,5.265340569203525e-05,1.0119196749369674e-05,0.3071906105936935,3.549655544943242e-06,4.659163813258704e-06,1.3299203632799461e-06,4.5210915955440356e-08,7.682571333544885e-07,1.4412784422497549e-06,0.10487279812491934,0.00026774116143712945,1.7766829872867262e-06
5,6.611064816203216e-05,0.3512513774688126,0.5667324800707834,3.2141572467447865e-06,0.16816129543653097,1.0522045128580348e-05,1.0219174685612009e-05,8.31444343640797e-06,0.0005895022507911851,0.0005235057629056072,0.3409517544556482,1.2403719867398104,4.43038166825227e-06,3.510849127280613e-06,4.4503007068374956e-06,1.0628648541913255e-06,4.0800000895152566e-08,6.495059932110081e-07,1.3729930322045614e-06,2.647308228187484e-07,4.860458964556225e-06,2.023602688527859e-06
6,0.002772638917222875,0.49719821926909946,0.00019430350906009947,3.1171189942558186e-06,0.4028496909359536,0.0007387379766504165,1.5160906079815517e-05,1.0695029142970824e-05,0.0008931397942597841,4.843188322889436e-06,0.1447129924651284,1.3543731824858913,5.459610465025078e-06,3.96021820636e-06,1.0824848638457674e-05,1.6707734074861147e-06,9.622937222758532e-08,7.70046741926933e-07,3.3271342043160804e-06,1.4688315363997617e-07,1.0165136103662542e-05,8.863991071084154e-06
7,0.00023504195039053544,2.5290378090070398e-05,2.5552543803097905e-05,0.002288724092742722,0.2412317218654561,0.0002723379129889736,0.546907341893224,0.6651154512931932,2.4784807923242114e-05,2.0665367962482972e-06,2.4041975532254622e-05,3.422551803408669e-05,0.04860122375446507,8.773907818740434e-06,0.07818824872482283,0.00014890108072311559,9.484653000491061e-08,1.098066713112189e-06,0.00027419980542449027,2.16398542729479e-06,0.23317533917506278,1.7253539410344576e-05
8,6.233905325642164e-06,0.24694697759255263,5.15727401391719e-05,2.022052899675053e-06,0.00017283741598330543,4.033374242956578e-06,2.742025849891694e-06,5.6740541174993275e-06,6.4200131984631925e-06,1.4421495881822288e-05,4.127650421569235,4.0417443308432555e-06,3.0530278408574807e-06,2.0781118619389582e-06,2.2299838271372385e-06,5.845451445649942e-07,1.8938799951906393e-08,4.918625799432697e-07,4.7278162545062036e-07,5.584835088834339e-08,8.449659418957589e-07,1.2488395347010073e-06
9,1.0734290188871136,0.16596921459435127,2.6060814756090345e-05,3.977316868519765e-06,0.11165031458073117,1.744353705121493e-05,0.24251977821360937,9.605961054370837e-06,2.556321435430442e-05,4.23653421460779e-06,0.13517994071267897,1.308627948420904e-05,0.21777317183564926,3.396251587163557e-06,4.322295354242112e-06,3.7774141825007435e-06,7.096829546249239e-08,7.160817427909194e-07,3.588452918174001e-06,2.732817505624041e-07,3.3606754140380612e-06,1.8006129598235887e-05
10,1.1131823092369597e-05,0.10752944065941944,0.00047578734976880255,0.17952720817998946,0.6065280637037175,0.32190758318616214,3.303912775906581e-05,0.982071526689439,3.207588762516034e-05,3.6386666409926605e-06,3.703686734345124e-05,2.6013031875410375e-05,5.812098026358736e-06,1.2959210067997606e-05,0.002248345009987829,1.5377539616182045e-06,1.6463747239126025e-07,1.8044579675136063e-05,1.5780893413298164e-06,1.9674864994989605e-06,0.00037556168682528757,1.0001319758701221e-05
