,x,y,types
0,9428.775777157889,8798.33373598945,L6 PT
1,12832.294637945372,11196.015507482507,L5 IT
2,5518.326685902165,14650.33319247206,Pvalb
3,10172.182848718068,614.9902303769388,Sst
4,5998.500288740555,17729.999472603406,Lamp5
5,5951.619532115285,4534.529191662178,L5 NP
6,15246.252159957805,7503.264676835441,Pvalb
7,11437.87957909886,14383.34795870715,Sst
8,9015.475862265683,16983.637782686845,L4
9,10528.078443498714,8744.95519245774,Sst
10,10534.747578782857,19435.69644374109,Sst
11,17234.850906137177,7993.194603818196,Sst
12,9768.944109672431,18075.542798837832,Sst
13,5111.271854299558,15879.46747503375,Sst
14,4130.3598788321815,17489.31286960292,Sst
15,13981.823855097557,5228.5319755688515,Vip
16,15325.733749275227,2837.1071076130515,Sst
17,16908.420735076197,11312.038293514084,L6b
18,13323.8556454485,3079.510223279804,Vip
19,15281.996169958176,12904.794132544743,Sst
20,7879.463506951879,19046.937590226957,Pvalb
21,14845.048456133132,12740.157236371228,L2/3 IT
22,29.168226395466036,14828.245729098833,Lamp5
23,9294.657875168647,13081.808967807126,Sst
24,12977.905620425232,9680.213100385648,Lamp5
25,7728.192925296841,17520.38887655735,Sst
26,14793.316445729331,8898.357921823417,L4
27,14743.575476929891,12166.5995757872,Vip
28,12936.073352051248,12285.105528805789,Lamp5
29,10658.004867190768,4017.3471906466148,L6b
30,8793.731976642404,8016.508653388916,Vip
31,7677.802903187925,14086.492833739043,Sst
32,10860.370274613242,18089.558712116508,L2/3 IT
33,18455.099956231235,6059.256807635018,L2/3 IT
34,14962.252402715847,13837.313105239586,L2/3 IT
35,10495.35508928624,17691.689674977628,Vip
36,10508.4133514697,8456.66683858644,L6 PT
37,10326.093816648874,8992.422216056273,Pvalb
38,453.2390120667438,14598.621260726555,Pvalb
39,15406.567401012971,10077.831690801087,L2/3 IT
40,7524.909719377081,15606.502021316064,Sst
41,17526.065632537848,4361.283263394749,L2/3 IT
42,10112.879469345982,18608.34690923652,L2/3 IT
43,7955.9291018049735,17193.827413644416,Sst
44,11790.81707802172,8935.743653079457,Lamp5
45,10782.648106758592,113.6373801566284,Sst
46,16950.281046003936,9087.188148198204,L2/3 IT
47,15472.336644580644,5483.031978396476,Pvalb
48,6008.463301691832,18312.798879977017,Sst
49,6132.158644138706,15405.54158523282,Sst
50,12721.217519556496,7150.679539477706,L5 PT
51,13927.95294601758,6627.916302628149,L5 IT
52,10881.391336049606,10206.790803761733,Sst
53,13828.823390533904,4675.737740747755,Sst
54,4150.929161948824,16730.367509041374,L6 IT
55,2366.729898462735,13341.442488863164,Pvalb
56,7301.5293916868995,15460.948546954778,Lamp5
57,10460.9639378277,5477.76697268337,L2/3 IT
58,10184.16224911454,9724.589305000796,L6 IT
59,10287.486835046528,12031.033647275228,Sst
60,14713.822559322714,14330.2270659423,Lamp5
61,7546.90008578848,10190.75024514492,Vip
62,14594.567434336604,8095.852699658806,Sst
63,8315.283277767065,20583.052278670908,L2/3 IT
64,8081.639000686371,4504.664876478373,Sst
65,14081.821783282818,7710.312882239384,L5 IT
66,14906.982690652163,9428.5828198521,Pvalb
67,11857.63497921823,8385.255186431732,Sst
68,10006.860384247,8851.157479152076,Lamp5
69,9424.848436949787,11172.138262826491,L6 IT
70,9396.563242300552,10889.787430034508,L5 IT
71,7486.593252489604,4891.2385739889505,Sst
72,9869.656152049702,16403.60949704577,L2/3 IT
73,14879.468537827837,3478.4000813516054,Sst
74,9836.630460414624,10978.914801935034,Lamp5
75,13159.87486923386,2292.437844044692,L6 PT
76,14192.406987093604,5318.482274386139,L5 IT
77,9101.91721797904,19075.09513088646,L4
78,5721.011341979897,13106.702966698369,L6 PT
79,5855.703713121019,15407.126900972551,L6 PT
80,6150.058449568634,10591.918447085134,Sst
81,13258.651338910058,10948.755476850576,L4
82,12531.728706486118,13155.609291956172,L4
83,8939.57255530572,10650.254176498956,Lamp5
84,9541.089469055356,17718.698179389266,Lamp5
85,6195.369497730168,4159.025648035175,Lamp5
86,14614.074438928017,10191.245335460484,Vip
87,6038.018977534999,11852.41526782258,Sst
88,8488.081280137661,21136.637353384882,Vip
89,11146.104982641344,10362.413056139068,L5 PT
90,1074.8659818984513,14159.008017465289,Vip
91,5066.126117966053,15121.892875109475,L6 PT
92,11835.271932651103,4903.538905412606,Sst
93,1022.837776221687,15423.56559205191,Pvalb
94,7146.5678298671155,13686.753466862125,Lamp5
95,10536.625785746308,7644.888732971914,Lamp5
96,1097.5151367749877,15570.905144037846,Lamp5
97,5450.219661251383,16023.448653592564,L6 IT
98,15553.859495537114,2537.346447706647,Sst
99,5621.6034532342765,14949.625926061044,L6 IT
100,12343.986152304893,3085.7161848041897,L6 PT
101,9485.497681098966,19779.15001960235,Sst
102,5317.6031894249045,16021.942531968803,L2/3 IT
103,8750.527563875523,2926.0932608228113,Lamp5
104,6170.967238679648,4386.1788794875565,Lamp5
105,10298.182804364176,1906.9839840054904,L5 IT
106,12242.71591413103,3354.8531701681172,Lamp5
107,15777.619749066054,9101.463621347038,L4
108,13592.075147199042,2560.474262620513,L6 IT
109,11727.640321283401,3818.767143332389,Sst
110,9745.331440221846,9236.381466517729,L6 IT
111,10818.965174460556,13904.26985489628,Sst
112,18620.318990204225,5985.676602156485,Pvalb
113,12143.94335591947,13482.994428937123,L4
114,9808.046205346613,18781.51523519207,Pvalb
115,9770.708056792528,13639.25535628158,Lamp5
116,8155.897003335059,8269.392244867042,L6b
117,12620.762944907063,12421.301376363548,Lamp5
118,684.8619193424545,13955.69879712684,Sst
